Entering constructor for: ReviewPal.ReviewPal2013.DrSmellPackage
Entering Initialize() of: ReviewPal.ReviewPal2013.DrSmellPackage
2022-09-25 12:39:56Z : PB = 435429376 : In   : ---------------------------- StyleCop.StyleCopCore..ctor(environment=<null>, hostTag=<null>)
2022-09-25 12:39:56Z : PB = 435085312 : Out  : ---------------------------- StyleCop.StyleCopCore..ctor()
2022-09-25 12:39:56Z : PB = 436924416 : Out  : ------------------------- StyleCop.StyleCopCore.Initialize()
C:\Users\kerueilin9\Desktop\Document\window_design\HW1\109590043\debug.log
2022-09-25 12:39:59Z : PB = 442834944 : In   : ---------------------------------- StyleCop.VisualStudio.AnalysisHelper.Analyze(full=True, type={Solution}, analysisFileManager=<missing>)
2022-09-25 12:39:59Z : PB = 445116416 : Out  : ---------------------------------- StyleCop.VisualStudio.AnalysisHelper.Analyze()
2022-09-25 12:39:59Z : PB = 445116416 : In   : ----- StyleCop.VisualStudio.AnalysisThread.AnalyzeProc()
2022-09-25 12:39:59Z : PB = 444661760 : In   : ------ StyleCop.StyleCopCore.FullAnalyze(projects=[List<CodeProject>: Count = 1])
2022-09-25 12:39:59Z : PB = 444755968 : In   : ------- StyleCop.StyleCopCore.Analyze(projects=[List<CodeProject>: Count = 1], ignoreCache=True, settingsPath=<null>)
2022-09-25 12:39:59Z : PB = 444837888 : In   : -------- StyleCop.StyleCopCore.RunWorkerThreads(data=[Data], count=1)
2022-09-25 12:39:59Z : PB = 444837888 : In   : --------- StyleCop.StyleCopThread.DoWork(sender=<null>)
2022-09-25 12:39:59Z : PB = 444858368 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-09-25 12:39:59Z : PB = 444874752 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-09-25 12:39:59Z : PB = 446095360 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-09-25 12:39:59Z : PB = 446095360 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-09-25 12:39:59Z : PB = 446107648 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-09-25 12:40:00Z : PB = 454430720 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-09-25 12:40:00Z : PB = 454430720 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-09-25 12:40:00Z : PB = 454459392 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-09-25 12:40:00Z : PB = 454459392 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-09-25 12:40:00Z : PB = 454459392 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-09-25 12:40:00Z : PB = 454479872 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-09-25 12:40:00Z : PB = 454479872 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-09-25 12:40:00Z : PB = 454479872 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-09-25 12:40:00Z : PB = 460484608 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-09-25 12:40:00Z : PB = 460484608 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-09-25 12:40:00Z : PB = 460484608 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-09-25 12:40:00Z : PB = 460484608 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-09-25 12:40:00Z : PB = 460484608 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-09-25 12:40:00Z : PB = 461139968 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-09-25 12:40:00Z : PB = 461139968 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-09-25 12:40:00Z : PB = 461139968 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-09-25 12:40:00Z : PB = 465772544 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-09-25 12:40:00Z : PB = 465772544 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-09-25 12:40:00Z : PB = 465772544 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-09-25 12:40:00Z : PB = 465842176 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-09-25 12:40:00Z : PB = 465973248 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-09-25 12:40:00Z : PB = 466079744 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-09-25 12:40:00Z : PB = 466079744 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-09-25 12:40:00Z : PB = 466079744 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-09-25 12:40:00Z : PB = 472834048 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-09-25 12:40:00Z : PB = 472834048 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-09-25 12:40:00Z : PB = 472834048 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-09-25 12:40:00Z : PB = 472834048 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-09-25 12:40:00Z : PB = 472834048 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-09-25 12:40:00Z : PB = 472854528 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-09-25 12:40:00Z : PB = 472854528 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-09-25 12:40:00Z : PB = 472854528 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-09-25 12:40:00Z : PB = 479932416 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-09-25 12:40:00Z : PB = 479932416 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-09-25 12:40:00Z : PB = 479932416 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-09-25 12:40:00Z : PB = 479932416 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-09-25 12:40:00Z : PB = 479932416 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-09-25 12:40:00Z : PB = 480034816 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
