Entering constructor for: ReviewPal.ReviewPal2013.DrSmellPackage
Entering Initialize() of: ReviewPal.ReviewPal2013.DrSmellPackage
2022-12-04 08:37:35Z : PB = 620113920 : In   : ---------------------------- StyleCop.StyleCopCore..ctor(environment=<null>, hostTag=<null>)
2022-12-04 08:37:35Z : PB = 619511808 : Out  : ---------------------------- StyleCop.StyleCopCore..ctor()
2022-12-04 08:37:35Z : PB = 620109824 : Out  : ------------------------- StyleCop.StyleCopCore.Initialize()
C:\Users\kerueilin9\Desktop\Document\window_design\HW6\DrawingForm\debug.log
2022-12-04 08:37:43Z : PB = 625061888 : In   : ---------------------------------- StyleCop.VisualStudio.AnalysisHelper.Analyze(full=True, type={Solution}, analysisFileManager=<missing>)
2022-12-04 08:37:43Z : PB = 631832576 : Out  : ---------------------------------- StyleCop.VisualStudio.AnalysisHelper.Analyze()
2022-12-04 08:37:43Z : PB = 631967744 : In   : ----- StyleCop.VisualStudio.AnalysisThread.AnalyzeProc()
2022-12-04 08:37:43Z : PB = 631570432 : In   : ------ StyleCop.StyleCopCore.FullAnalyze(projects=[List<CodeProject>: Count = 3])
2022-12-04 08:37:43Z : PB = 631853056 : In   : ------- StyleCop.StyleCopCore.Analyze(projects=[List<CodeProject>: Count = 3], ignoreCache=True, settingsPath=<null>)
2022-12-04 08:37:44Z : PB = 631234560 : In   : -------- StyleCop.StyleCopCore.RunWorkerThreads(data=[Data], count=1)
2022-12-04 08:37:44Z : PB = 631238656 : In   : --------- StyleCop.StyleCopThread.DoWork(sender=<null>)
2022-12-04 08:37:44Z : PB = 631246848 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-04 08:37:44Z : PB = 631267328 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
